variableMetadata	parentMZ	parentRT	Score	MonoisotopicMass	SMILES	InChIKey	Name	NoExplPeaks	NumberPeaksUsed	InChI	OfflineMetFusionScore	MaximumTreeDepth	Identifier	ExplPeaks	InChIKey3	InChIKey2	InChIKey1	FragmenterScore	MolecularFormula	FragmenterScore_Values	FormulasOfExplPeaks	q.value
variable_1018	432.2401	40.788	1.99803171014229	414.204238692	COC1=CC(O)=C(C(=O)OC2CC3(C)C4CC(C)(C)CC4C=C(C=O)C23O)C(C)=C1	ISKWRTCZWOXOOF-UHFFFAOYSA-N	Armillarin	22	23	InChI=1S/C24H30O6/c1-13-6-16(29-5)8-18(26)20(13)21(27)30-19-11-23(4)17-10-22(2,3)9-14(17)7-15(12-25)24(19,23)28/h6-8,12,14,17,19,26,28H,9-11H2,1-5H3	7.3514180564853	2	HMDB39380	43.0169814164385_3.7;69.0332488409515_3.5;81.0344879431414_3.7;83.0502651054529_1.8;97.0285751447862_2.2;107.083999352694_3.7;111.045353206311_3.4;119.085895376957_798.6;120.089610262049_3.1;127.038466992245_8.8;129.054665841979_7.1;133.06422584711_11.7;135.080869246412_131.6;147.065505641259_13.8;263.12807291782_3.1;277.1072975114_4.4;279.124718393142_1.7;281.140309338479_151.8;295.118616256672_19.8;397.201563234047_13.8;415.213898190712_999.0;416.214735337489_4.3	N	UHFFFAOYSA	ISKWRTCZWOXOOF	361.784564261037	C24H30O6	796.0;796.0;1044.0;1044.0;1256.0;808.0;1492.0;808.0;708.0;1044.0;1244.0;820.0;820.0;820.0;796.0;348.0;1244.0;796.0;1044.0;360.0;360.0;448.0	43.0169814164385:[C3H6+H]+;69.0332488409515:[C5H10-H]+;81.0344879431414:[C6H9]+;83.0502651054529:[C6H11]+;97.0285751447862:[C5H7O2-2H]+;107.083999352694:[C7H6O+H]+;111.045353206311:[C6H6O-H]+NH4+;119.085895376957:[C8H8O-H]+;120.089610262049:[C8H8O]+;127.038466992245:[C6H7O3]+;129.054665841979:[C6H7O3+2H]+;133.06422584711:[C8H6O2-H]+;135.080869246412:[C8H6O2+H]+;147.065505641259:[C9H8O2-H]+;263.12807291782:[C14H16O5-H]+;277.1072975114:[C16H21O4]+;279.124718393142:[C15H19O4-2H]+NH4+;281.140309338479:[C14H16O5-H]+NH4+;295.118616256672:[C14H13O6]+NH4+;397.201563234047:[C24H29O5]+;415.213898190712:[C24H29O5]+NH4+;416.214735337489:[C23H27O6-H]+NH4+	0.104148289310304
variable_1020	432.2401	40.788	1.99803171014229	414.204238692	COC1=CC(O)=C(C(=O)OC2CC3(C)C4CC(C)(C)CC4C=C(C=O)C23O)C(C)=C1	ISKWRTCZWOXOOF-UHFFFAOYSA-N	Armillarin	22	23	InChI=1S/C24H30O6/c1-13-6-16(29-5)8-18(26)20(13)21(27)30-19-11-23(4)17-10-22(2,3)9-14(17)7-15(12-25)24(19,23)28/h6-8,12,14,17,19,26,28H,9-11H2,1-5H3	7.3514180564853	2	HMDB39380	43.0169814164385_3.7;69.0332488409515_3.5;81.0344879431414_3.7;83.0502651054529_1.8;97.0285751447862_2.2;107.083999352694_3.7;111.045353206311_3.4;119.085895376957_798.6;120.089610262049_3.1;127.038466992245_8.8;129.054665841979_7.1;133.06422584711_11.7;135.080869246412_131.6;147.065505641259_13.8;263.12807291782_3.1;277.1072975114_4.4;279.124718393142_1.7;281.140309338479_151.8;295.118616256672_19.8;397.201563234047_13.8;415.213898190712_999.0;416.214735337489_4.3	N	UHFFFAOYSA	ISKWRTCZWOXOOF	361.784564261037	C24H30O6	796.0;796.0;1044.0;1044.0;1256.0;808.0;1492.0;808.0;708.0;1044.0;1244.0;820.0;820.0;820.0;796.0;348.0;1244.0;796.0;1044.0;360.0;360.0;448.0	43.0169814164385:[C3H6+H]+;69.0332488409515:[C5H10-H]+;81.0344879431414:[C6H9]+;83.0502651054529:[C6H11]+;97.0285751447862:[C5H7O2-2H]+;107.083999352694:[C7H6O+H]+;111.045353206311:[C6H6O-H]+NH4+;119.085895376957:[C8H8O-H]+;120.089610262049:[C8H8O]+;127.038466992245:[C6H7O3]+;129.054665841979:[C6H7O3+2H]+;133.06422584711:[C8H6O2-H]+;135.080869246412:[C8H6O2+H]+;147.065505641259:[C9H8O2-H]+;263.12807291782:[C14H16O5-H]+;277.1072975114:[C16H21O4]+;279.124718393142:[C15H19O4-2H]+NH4+;281.140309338479:[C14H16O5-H]+NH4+;295.118616256672:[C14H13O6]+NH4+;397.201563234047:[C24H29O5]+;415.213898190712:[C24H29O5]+NH4+;416.214735337489:[C23H27O6-H]+NH4+	0.104148289310304
variable_1023	432.2401	40.788	1.99803171014229	414.204238692	COC1=CC(O)=C(C(=O)OC2CC3(C)C4CC(C)(C)CC4C=C(C=O)C23O)C(C)=C1	ISKWRTCZWOXOOF-UHFFFAOYSA-N	Armillarin	22	23	InChI=1S/C24H30O6/c1-13-6-16(29-5)8-18(26)20(13)21(27)30-19-11-23(4)17-10-22(2,3)9-14(17)7-15(12-25)24(19,23)28/h6-8,12,14,17,19,26,28H,9-11H2,1-5H3	7.3514180564853	2	HMDB39380	43.0169814164385_3.7;69.0332488409515_3.5;81.0344879431414_3.7;83.0502651054529_1.8;97.0285751447862_2.2;107.083999352694_3.7;111.045353206311_3.4;119.085895376957_798.6;120.089610262049_3.1;127.038466992245_8.8;129.054665841979_7.1;133.06422584711_11.7;135.080869246412_131.6;147.065505641259_13.8;263.12807291782_3.1;277.1072975114_4.4;279.124718393142_1.7;281.140309338479_151.8;295.118616256672_19.8;397.201563234047_13.8;415.213898190712_999.0;416.214735337489_4.3	N	UHFFFAOYSA	ISKWRTCZWOXOOF	361.784564261037	C24H30O6	796.0;796.0;1044.0;1044.0;1256.0;808.0;1492.0;808.0;708.0;1044.0;1244.0;820.0;820.0;820.0;796.0;348.0;1244.0;796.0;1044.0;360.0;360.0;448.0	43.0169814164385:[C3H6+H]+;69.0332488409515:[C5H10-H]+;81.0344879431414:[C6H9]+;83.0502651054529:[C6H11]+;97.0285751447862:[C5H7O2-2H]+;107.083999352694:[C7H6O+H]+;111.045353206311:[C6H6O-H]+NH4+;119.085895376957:[C8H8O-H]+;120.089610262049:[C8H8O]+;127.038466992245:[C6H7O3]+;129.054665841979:[C6H7O3+2H]+;133.06422584711:[C8H6O2-H]+;135.080869246412:[C8H6O2+H]+;147.065505641259:[C9H8O2-H]+;263.12807291782:[C14H16O5-H]+;277.1072975114:[C16H21O4]+;279.124718393142:[C15H19O4-2H]+NH4+;281.140309338479:[C14H16O5-H]+NH4+;295.118616256672:[C14H13O6]+NH4+;397.201563234047:[C24H29O5]+;415.213898190712:[C24H29O5]+NH4+;416.214735337489:[C23H27O6-H]+NH4+	0.104148289310304
variable_1060	302.2329	108.11500000002	2	301.225308485	CC(C)CCCC(C)C(=O)OC(CC([O-])=O)C[N+](C)(C)C	QBYXBONNCVATNQ-UHFFFAOYSA-N	2,6 Dimethylheptanoyl carnitine	5	5	InChI=1S/C16H31NO4/c1-12(2)8-7-9-13(3)16(20)21-14(10-15(18)19)11-17(4,5)6/h12-14H,7-11H2,1-6H3	3.88236686685822	2	HMDB06320	60.0796848309844_457.3;71.0856006504111_230.7;85.0289583650297_936.1;243.158461757785_999.0;285.168391161859_288.3	N	UHFFFAOYSA	QBYXBONNCVATNQ	326.52825047305	C16H31NO4	305.0;348.0;665.0;305.0;405.0	60.0796848309844:[C3H9N]+H+;71.0856006504111:[C5H11]+;85.0289583650297:[C4H5O2]+;243.158461757785:[C13H22O4]+H+;285.168391161859:[C15H28NO4-H]+	0.104148289310304
variable_1067	302.2329	108.11500000002	2	301.225308485	CC(C)CCCC(C)C(=O)OC(CC([O-])=O)C[N+](C)(C)C	QBYXBONNCVATNQ-UHFFFAOYSA-N	2,6 Dimethylheptanoyl carnitine	5	5	InChI=1S/C16H31NO4/c1-12(2)8-7-9-13(3)16(20)21-14(10-15(18)19)11-17(4,5)6/h12-14H,7-11H2,1-6H3	3.88236686685822	2	HMDB06320	60.0796848309844_457.3;71.0856006504111_230.7;85.0289583650297_936.1;243.158461757785_999.0;285.168391161859_288.3	N	UHFFFAOYSA	QBYXBONNCVATNQ	326.52825047305	C16H31NO4	305.0;348.0;665.0;305.0;405.0	60.0796848309844:[C3H9N]+H+;71.0856006504111:[C5H11]+;85.0289583650297:[C4H5O2]+;243.158461757785:[C13H22O4]+H+;285.168391161859:[C15H28NO4-H]+	0.104148289310304
variable_1076	61.0398	94.407	1.57505388225318	60.032362757	CN=NO	CIJBKNZDKBKMFU-UHFFFAOYSA-N	N-nitrosomethanamine	1	1	InChI=1S/CH4N2O/c1-2-3-4/h1H3,(H,2,4)	0.634427173804049	2	HMDB62508	44.0126064598411_999.0	N	UHFFFAOYSA	CIJBKNZDKBKMFU	181.513818505167	CH4N2O	NA	44.0126064598411:[CH3N2]+H+	0.10638230377318
variable_1080	284.171	95.94100000002	2	283.164439563	NCCCCC(NC(=O)C(N)CC1=CN=CN1)C(O)=O	CZVQSYNVUHAILZ-UHFFFAOYSA-N	Histidinyl-Lysine	5	5	InChI=1S/C12H21N5O3/c13-4-2-1-3-10(12(19)20)17-11(18)9(14)5-8-6-15-7-16-8/h6-7,9-10H,1-5,13-14H2,(H,15,16)(H,17,18)(H,19,20)	4.31612232955268	2	HMDB28890	73.0283736982608_163.4;99.0437051513092_999.0;161.077212967151_135.0;249.134595645332_604.6;267.143640882667_588.7	N	UHFFFAOYSA	CZVQSYNVUHAILZ	340.421509113132	C12H21N5O3	653.0;753.0;896.0;720.0;305.0	73.0283736982608:[C3H4O2]+H+;99.0437051513092:[C5H8O2-H]+;161.077212967151:[C6H10N2O3+2H]+H+;249.134595645332:[C12H19N5O]+;267.143640882667:[C12H19N4O3]+	0.104148289310304
variable_1087	61.0398	94.407	1.57505388225318	60.032362757	CN=NO	CIJBKNZDKBKMFU-UHFFFAOYSA-N	N-nitrosomethanamine	1	1	InChI=1S/CH4N2O/c1-2-3-4/h1H3,(H,2,4)	0.634427173804049	2	HMDB62508	44.0126064598411_999.0	N	UHFFFAOYSA	CIJBKNZDKBKMFU	181.513818505167	CH4N2O	NA	44.0126064598411:[CH3N2]+H+	0.10638230377318
variable_1107	267.1725	39.447	1.85310949605296	228.20893014	CC(C)CCCCCCCCCCC(O)=O	YYVJAABUJYRQJO-UHFFFAOYSA-N	12-Methyltridecanoic acid	3	3	InChI=1S/C14H28O2/c1-13(2)11-9-7-5-3-4-6-8-10-12-14(15)16/h13H,3-12H2,1-2H3,(H,15,16)	3.95159864765856	2	HMDB31072	98.9836728293469_999.0;155.047093771833_335.0;211.109695005903_243.3	N	UHFFFAOYSA	YYVJAABUJYRQJO	196.207809547174	C14H28O2	448.0;448.0;448.0	98.9836728293469:[C2H3O2+H]+K+;155.047093771833:[C6H11O2+H]+K+;211.109695005903:[C10H19O2+H]+K+	0.104195914444204
variable_1125	432.2401	40.788	1.99803171014229	414.204238692	COC1=CC(O)=C(C(=O)OC2CC3(C)C4CC(C)(C)CC4C=C(C=O)C23O)C(C)=C1	ISKWRTCZWOXOOF-UHFFFAOYSA-N	Armillarin	22	23	InChI=1S/C24H30O6/c1-13-6-16(29-5)8-18(26)20(13)21(27)30-19-11-23(4)17-10-22(2,3)9-14(17)7-15(12-25)24(19,23)28/h6-8,12,14,17,19,26,28H,9-11H2,1-5H3	7.3514180564853	2	HMDB39380	43.0169814164385_3.7;69.0332488409515_3.5;81.0344879431414_3.7;83.0502651054529_1.8;97.0285751447862_2.2;107.083999352694_3.7;111.045353206311_3.4;119.085895376957_798.6;120.089610262049_3.1;127.038466992245_8.8;129.054665841979_7.1;133.06422584711_11.7;135.080869246412_131.6;147.065505641259_13.8;263.12807291782_3.1;277.1072975114_4.4;279.124718393142_1.7;281.140309338479_151.8;295.118616256672_19.8;397.201563234047_13.8;415.213898190712_999.0;416.214735337489_4.3	N	UHFFFAOYSA	ISKWRTCZWOXOOF	361.784564261037	C24H30O6	796.0;796.0;1044.0;1044.0;1256.0;808.0;1492.0;808.0;708.0;1044.0;1244.0;820.0;820.0;820.0;796.0;348.0;1244.0;796.0;1044.0;360.0;360.0;448.0	43.0169814164385:[C3H6+H]+;69.0332488409515:[C5H10-H]+;81.0344879431414:[C6H9]+;83.0502651054529:[C6H11]+;97.0285751447862:[C5H7O2-2H]+;107.083999352694:[C7H6O+H]+;111.045353206311:[C6H6O-H]+NH4+;119.085895376957:[C8H8O-H]+;120.089610262049:[C8H8O]+;127.038466992245:[C6H7O3]+;129.054665841979:[C6H7O3+2H]+;133.06422584711:[C8H6O2-H]+;135.080869246412:[C8H6O2+H]+;147.065505641259:[C9H8O2-H]+;263.12807291782:[C14H16O5-H]+;277.1072975114:[C16H21O4]+;279.124718393142:[C15H19O4-2H]+NH4+;281.140309338479:[C14H16O5-H]+NH4+;295.118616256672:[C14H13O6]+NH4+;397.201563234047:[C24H29O5]+;415.213898190712:[C24H29O5]+NH4+;416.214735337489:[C23H27O6-H]+NH4+	0.104148289310304
variable_1143	302.2329	108.11500000002	2	301.225308485	CC(C)CCCC(C)C(=O)OC(CC([O-])=O)C[N+](C)(C)C	QBYXBONNCVATNQ-UHFFFAOYSA-N	2,6 Dimethylheptanoyl carnitine	5	5	InChI=1S/C16H31NO4/c1-12(2)8-7-9-13(3)16(20)21-14(10-15(18)19)11-17(4,5)6/h12-14H,7-11H2,1-6H3	3.88236686685822	2	HMDB06320	60.0796848309844_457.3;71.0856006504111_230.7;85.0289583650297_936.1;243.158461757785_999.0;285.168391161859_288.3	N	UHFFFAOYSA	QBYXBONNCVATNQ	326.52825047305	C16H31NO4	305.0;348.0;665.0;305.0;405.0	60.0796848309844:[C3H9N]+H+;71.0856006504111:[C5H11]+;85.0289583650297:[C4H5O2]+;243.158461757785:[C13H22O4]+H+;285.168391161859:[C15H28NO4-H]+	0.104148289310304
variable_1148	316.2493	104.379	2	315.240958547	[H][C@@](CC([O-])=O)(C[N+](C)(C)C)OC(=O)CCCCCCCCC	LZOSYCMHQXPBFU-OAHLLOKOSA-N	O-decanoyl-L-carnitine	4	4	InChI=1S/C17H33NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h15H,5-14H2,1-4H3/t15-/m1/s1	4.06511575120373	2	HMDB62631	60.080680594951_162.2;85.0280150316809_999.0;155.14198475043_73.6;257.174417664148_672.8	N	OAHLLOKOSA	LZOSYCMHQXPBFU	187.318913931724	C17H33NO4	305.0;665.0;360.0;305.0	60.080680594951:[C3H9N]+H+;85.0280150316809:[C4H5O2]+;155.14198475043:[C10H19O]+;257.174417664148:[C14H24O4]+H+	0.104685242052945
variable_1152	316.2493	104.379	2	315.240958547	[H][C@@](CC([O-])=O)(C[N+](C)(C)C)OC(=O)CCCCCCCCC	LZOSYCMHQXPBFU-OAHLLOKOSA-N	O-decanoyl-L-carnitine	4	4	InChI=1S/C17H33NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h15H,5-14H2,1-4H3/t15-/m1/s1	4.06511575120373	2	HMDB62631	60.080680594951_162.2;85.0280150316809_999.0;155.14198475043_73.6;257.174417664148_672.8	N	OAHLLOKOSA	LZOSYCMHQXPBFU	187.318913931724	C17H33NO4	305.0;665.0;360.0;305.0	60.080680594951:[C3H9N]+H+;85.0280150316809:[C4H5O2]+;155.14198475043:[C10H19O]+;257.174417664148:[C14H24O4]+H+	0.104685242052945
variable_1157	316.2493	104.379	2	315.240958547	[H][C@@](CC([O-])=O)(C[N+](C)(C)C)OC(=O)CCCCCCCCC	LZOSYCMHQXPBFU-OAHLLOKOSA-N	O-decanoyl-L-carnitine	4	4	InChI=1S/C17H33NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h15H,5-14H2,1-4H3/t15-/m1/s1	4.06511575120373	2	HMDB62631	60.080680594951_162.2;85.0280150316809_999.0;155.14198475043_73.6;257.174417664148_672.8	N	OAHLLOKOSA	LZOSYCMHQXPBFU	187.318913931724	C17H33NO4	305.0;665.0;360.0;305.0	60.080680594951:[C3H9N]+H+;85.0280150316809:[C4H5O2]+;155.14198475043:[C10H19O]+;257.174417664148:[C14H24O4]+H+	0.104685242052945
variable_1185	432.2401	40.788	1.99803171014229	414.204238692	COC1=CC(O)=C(C(=O)OC2CC3(C)C4CC(C)(C)CC4C=C(C=O)C23O)C(C)=C1	ISKWRTCZWOXOOF-UHFFFAOYSA-N	Armillarin	22	23	InChI=1S/C24H30O6/c1-13-6-16(29-5)8-18(26)20(13)21(27)30-19-11-23(4)17-10-22(2,3)9-14(17)7-15(12-25)24(19,23)28/h6-8,12,14,17,19,26,28H,9-11H2,1-5H3	7.3514180564853	2	HMDB39380	43.0169814164385_3.7;69.0332488409515_3.5;81.0344879431414_3.7;83.0502651054529_1.8;97.0285751447862_2.2;107.083999352694_3.7;111.045353206311_3.4;119.085895376957_798.6;120.089610262049_3.1;127.038466992245_8.8;129.054665841979_7.1;133.06422584711_11.7;135.080869246412_131.6;147.065505641259_13.8;263.12807291782_3.1;277.1072975114_4.4;279.124718393142_1.7;281.140309338479_151.8;295.118616256672_19.8;397.201563234047_13.8;415.213898190712_999.0;416.214735337489_4.3	N	UHFFFAOYSA	ISKWRTCZWOXOOF	361.784564261037	C24H30O6	796.0;796.0;1044.0;1044.0;1256.0;808.0;1492.0;808.0;708.0;1044.0;1244.0;820.0;820.0;820.0;796.0;348.0;1244.0;796.0;1044.0;360.0;360.0;448.0	43.0169814164385:[C3H6+H]+;69.0332488409515:[C5H10-H]+;81.0344879431414:[C6H9]+;83.0502651054529:[C6H11]+;97.0285751447862:[C5H7O2-2H]+;107.083999352694:[C7H6O+H]+;111.045353206311:[C6H6O-H]+NH4+;119.085895376957:[C8H8O-H]+;120.089610262049:[C8H8O]+;127.038466992245:[C6H7O3]+;129.054665841979:[C6H7O3+2H]+;133.06422584711:[C8H6O2-H]+;135.080869246412:[C8H6O2+H]+;147.065505641259:[C9H8O2-H]+;263.12807291782:[C14H16O5-H]+;277.1072975114:[C16H21O4]+;279.124718393142:[C15H19O4-2H]+NH4+;281.140309338479:[C14H16O5-H]+NH4+;295.118616256672:[C14H13O6]+NH4+;397.201563234047:[C24H29O5]+;415.213898190712:[C24H29O5]+NH4+;416.214735337489:[C23H27O6-H]+NH4+	0.104148289310304
variable_1193	448.3411	80.67	2	425.350508997	[H]\C(CCCCCCCC)=C(/[H])CCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	IPOLTUVFXFHAHI-SEYXRHQNSA-N	O-oleoylcarnitine	1	1	InChI=1S/C25H47NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h12-13,23H,5-11,14-22H2,1-4H3/b13-12-	1.52889321203011	2	HMDB62772	60.0798078331051_999.0	N	SEYXRHQNSA	IPOLTUVFXFHAHI	6.61001041263367	C25H47NO4	NA	60.0798078331051:[C3H9N+H]+	0.401714597370378
variable_1206	302.2137	105.012	1.99526395059789	284.177630012	CC(C)=CCCC(C)(OC(=O)\C=C\C1=CC=CC=C1)C=C	DPFUEXLIKDHJNB-BUHFOSPRSA-N	Linalyl cinnamate	12	13	InChI=1S/C19H24O2/c1-5-19(4,15-9-10-16(2)3)21-18(20)14-13-17-11-7-6-8-12-17/h5-8,10-14H,1,9,15H2,2-4H3/b14-13+	4.83699682026571	2	HMDB30432	43.0182254252949_319.7;45.0442021367725_425.6;99.0450733230677_335.2;113.05737652489_396.8;157.086144146912_488.5;167.106232567204_478.4;169.086813678406_333.7;189.165150420214_430.7;207.17628490776_383.0;267.156294044217_442.0;267.192211742302_344.0;285.178203862086_999.0	N	BUHFOSPRSA	DPFUEXLIKDHJNB	629.831835323331	C19H24O2	712.0;348.0;796.0;796.0;796.0;796.0;796.0;1291.0;348.0;843.0;843.0;843.0	43.0182254252949:[C3H6+H]+;45.0442021367725:[C2H3]+NH4+;99.0450733230677:[C5H6O2+H]+;113.05737652489:[C6H8O2+H]+;157.086144146912:[C8H10O2+H]+NH4+;167.106232567204:[C10H14O2+H]+;169.086813678406:[C9H12O2-H]+NH4+;189.165150420214:[C13H19O-2H]+;207.17628490776:[C13H19O2]+;267.156294044217:[C19H24O-H]+;267.192211742302:[C19H24O-H]+;285.178203862086:[C19H24O-H]+NH4+	0.104148289310304
variable_1216	729.5896	104.72200000002	2	728.583224846	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCCCCCC	NBEADXWAAWCCDG-QDDWGVBQSA-N	SM(d18:1/18:1(9Z))	1	1	InChI=1S/C41H81N2O6P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-41(45)42-39(38-49-50(46,47)48-37-36-43(3,4)5)40(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h20-21,32,34,39-40,44H,6-19,22-31,33,35-38H2,1-5H3,(H-,42,45,46,47)/b21-20-,34-32+/t39-,40+/m0/s1	3.43585471955379	2	HMDB12101	184.073330084624_999.0	N	QDDWGVBQSA	NBEADXWAAWCCDG	18.1497541643738	C41H81N2O6P	NA	184.073330084624:[C5H13NO4P+H]+H+	0.276318543925879
variable_1223	342.2648	97.485	2	341.256608613	CCCCCCCCCC=CC(=O)O[C@@H](CCC([O-])=O)[N+](C)(C)C	JEOZLTJHDSKQIT-KRWDZBQOSA-N	trans-2-Dodecenoylcarnitine	4	4	InChI=1S/C19H35NO4/c1-5-6-7-8-9-10-11-12-13-14-19(23)24-17(20(2,3)4)15-16-18(21)22/h13-14,17H,5-12,15-16H2,1-4H3/t17-/m0/s1	3.69803258293123	2	HMDB13326	85.0288308969667_999.0;99.0428240678076_574.7;181.153353923409_424.3;283.189393376938_541.7	N	KRWDZBQOSA	JEOZLTJHDSKQIT	213.705340578164	C19H35NO4	665.0;708.0;360.0;305.0	85.0288308969667:[C4H5O2]+;99.0428240678076:[C5H6O2]+H+;181.153353923409:[C12H21O]+;283.189393376938:[C16H26O4]+H+	0.104148289310304
variable_1234	432.2401	40.788	1.99803171014229	414.204238692	COC1=CC(O)=C(C(=O)OC2CC3(C)C4CC(C)(C)CC4C=C(C=O)C23O)C(C)=C1	ISKWRTCZWOXOOF-UHFFFAOYSA-N	Armillarin	22	23	InChI=1S/C24H30O6/c1-13-6-16(29-5)8-18(26)20(13)21(27)30-19-11-23(4)17-10-22(2,3)9-14(17)7-15(12-25)24(19,23)28/h6-8,12,14,17,19,26,28H,9-11H2,1-5H3	7.3514180564853	2	HMDB39380	43.0169814164385_3.7;69.0332488409515_3.5;81.0344879431414_3.7;83.0502651054529_1.8;97.0285751447862_2.2;107.083999352694_3.7;111.045353206311_3.4;119.085895376957_798.6;120.089610262049_3.1;127.038466992245_8.8;129.054665841979_7.1;133.06422584711_11.7;135.080869246412_131.6;147.065505641259_13.8;263.12807291782_3.1;277.1072975114_4.4;279.124718393142_1.7;281.140309338479_151.8;295.118616256672_19.8;397.201563234047_13.8;415.213898190712_999.0;416.214735337489_4.3	N	UHFFFAOYSA	ISKWRTCZWOXOOF	361.784564261037	C24H30O6	796.0;796.0;1044.0;1044.0;1256.0;808.0;1492.0;808.0;708.0;1044.0;1244.0;820.0;820.0;820.0;796.0;348.0;1244.0;796.0;1044.0;360.0;360.0;448.0	43.0169814164385:[C3H6+H]+;69.0332488409515:[C5H10-H]+;81.0344879431414:[C6H9]+;83.0502651054529:[C6H11]+;97.0285751447862:[C5H7O2-2H]+;107.083999352694:[C7H6O+H]+;111.045353206311:[C6H6O-H]+NH4+;119.085895376957:[C8H8O-H]+;120.089610262049:[C8H8O]+;127.038466992245:[C6H7O3]+;129.054665841979:[C6H7O3+2H]+;133.06422584711:[C8H6O2-H]+;135.080869246412:[C8H6O2+H]+;147.065505641259:[C9H8O2-H]+;263.12807291782:[C14H16O5-H]+;277.1072975114:[C16H21O4]+;279.124718393142:[C15H19O4-2H]+NH4+;281.140309338479:[C14H16O5-H]+NH4+;295.118616256672:[C14H13O6]+NH4+;397.201563234047:[C24H29O5]+;415.213898190712:[C24H29O5]+NH4+;416.214735337489:[C23H27O6-H]+NH4+	0.104148289310304
variable_1239	432.2401	40.788	1.99803171014229	414.204238692	COC1=CC(O)=C(C(=O)OC2CC3(C)C4CC(C)(C)CC4C=C(C=O)C23O)C(C)=C1	ISKWRTCZWOXOOF-UHFFFAOYSA-N	Armillarin	22	23	InChI=1S/C24H30O6/c1-13-6-16(29-5)8-18(26)20(13)21(27)30-19-11-23(4)17-10-22(2,3)9-14(17)7-15(12-25)24(19,23)28/h6-8,12,14,17,19,26,28H,9-11H2,1-5H3	7.3514180564853	2	HMDB39380	43.0169814164385_3.7;69.0332488409515_3.5;81.0344879431414_3.7;83.0502651054529_1.8;97.0285751447862_2.2;107.083999352694_3.7;111.045353206311_3.4;119.085895376957_798.6;120.089610262049_3.1;127.038466992245_8.8;129.054665841979_7.1;133.06422584711_11.7;135.080869246412_131.6;147.065505641259_13.8;263.12807291782_3.1;277.1072975114_4.4;279.124718393142_1.7;281.140309338479_151.8;295.118616256672_19.8;397.201563234047_13.8;415.213898190712_999.0;416.214735337489_4.3	N	UHFFFAOYSA	ISKWRTCZWOXOOF	361.784564261037	C24H30O6	796.0;796.0;1044.0;1044.0;1256.0;808.0;1492.0;808.0;708.0;1044.0;1244.0;820.0;820.0;820.0;796.0;348.0;1244.0;796.0;1044.0;360.0;360.0;448.0	43.0169814164385:[C3H6+H]+;69.0332488409515:[C5H10-H]+;81.0344879431414:[C6H9]+;83.0502651054529:[C6H11]+;97.0285751447862:[C5H7O2-2H]+;107.083999352694:[C7H6O+H]+;111.045353206311:[C6H6O-H]+NH4+;119.085895376957:[C8H8O-H]+;120.089610262049:[C8H8O]+;127.038466992245:[C6H7O3]+;129.054665841979:[C6H7O3+2H]+;133.06422584711:[C8H6O2-H]+;135.080869246412:[C8H6O2+H]+;147.065505641259:[C9H8O2-H]+;263.12807291782:[C14H16O5-H]+;277.1072975114:[C16H21O4]+;279.124718393142:[C15H19O4-2H]+NH4+;281.140309338479:[C14H16O5-H]+NH4+;295.118616256672:[C14H13O6]+NH4+;397.201563234047:[C24H29O5]+;415.213898190712:[C24H29O5]+NH4+;416.214735337489:[C23H27O6-H]+NH4+	0.104148289310304
variable_1272	267.1725	39.447	1.85310949605296	228.20893014	CC(C)CCCCCCCCCCC(O)=O	YYVJAABUJYRQJO-UHFFFAOYSA-N	12-Methyltridecanoic acid	3	3	InChI=1S/C14H28O2/c1-13(2)11-9-7-5-3-4-6-8-10-12-14(15)16/h13H,3-12H2,1-2H3,(H,15,16)	3.95159864765856	2	HMDB31072	98.9836728293469_999.0;155.047093771833_335.0;211.109695005903_243.3	N	UHFFFAOYSA	YYVJAABUJYRQJO	196.207809547174	C14H28O2	448.0;448.0;448.0	98.9836728293469:[C2H3O2+H]+K+;155.047093771833:[C6H11O2+H]+K+;211.109695005903:[C10H19O2+H]+K+	0.104195914444204
